@relation 123

@attribute TEMPINC numeric
@attribute DEWPOINTTEMPINC numeric
@attribute RELHUMINPERCENT numeric
@attribute WINDDIRIN10SDEG numeric
@attribute WINDSPDINKMH numeric
@attribute VISIBILITYINKM numeric
@attribute STNPRESSINKPA numeric
@attribute WINDCHILL numeric
@attribute Class {1,2,3}

@data
-22.6,-27,67,24,15,24.1,102.47,-32,2
-20.2,-24.9,66,23,15,24.1,102.6,-29,2
-19.2,-24.5,63,27,19,24.1,102.67,-29,2
-19.6,-24.2,67,24,24,24.1,102.74,-31,2
-19.6,-23.3,72,22,19,24.1,102.81,-30,2
-20.2,-24.9,66,21,19,24.1,102.87,-30,2
-20.2,-24.9,66,21,19,24.1,102.91,-30,2
-20.4,-24.3,71,21,30,24.1,102.94,-33,2
-20.6,-24.5,71,21,35,24.1,102.91,-34,2
-20.4,-24.3,71,22,22,24.1,102.94,-31,2
-20.2,-24,72,24,35,24.1,102.91,-34,2
-20.2,-24,72,21,39,24.1,102.91,-34,2
-16.5,-19.6,77,20,37,24.1,102.4,-29,1
-15.2,-18.1,78,21,37,24.1,102.4,-27,1
-13.5,-16.1,81,22,43,24.1,102.3,-26,1
-12.2,-15.6,76,21,32,24.1,102.27,-23,1
-10.3,-13.2,79,21,33,19.3,102.13,-20,1
-8.8,-11.9,78,20,33,19.3,101.96,-18,1
-7.2,-9.5,84,22,37,24.1,101.89,-17,1
-6.5,-8.7,84,18,19,24.1,101.83,-13,1
-11.6,-14.8,77,28,30,11.3,99.46,-22,1
-18.8,-22.4,73,30,26,19.3,101.89,-30,1
-22.5,-25.9,74,29,28,24.1,102.6,-35,2
-23.1,-26.6,73,20,13,24.1,102.67,-32,2
-22.6,-26,74,29,13,24.1,102.7,-32,2
-22.9,-26.3,74,23,7,24.1,102.77,-29,2
-23.6,-27.1,73,24,13,24.1,102.84,-33,2
